id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
45722399,Sweet 1BR with Parking steps from Union Square.,32747327,Cheri,,Charlestown,42.38505,-71.10001,Entire home/apt,84,30,4,2022-05-31,0.3,1,152,3,
29778001,Stunning & sunny; 3BR/2BA steps to Harvard Sq,6499961,Brian,,Allston,42.37592,-71.11103,Entire home/apt,338,5,1,2022-06-06,1.0,3,79,1,C0311620491
49642098,"Cambridgeport Cherry Studio, Private Bath 2nd Fl",394741679,Olena,,Allston,42.36126,-71.10753,Private room,74,30,0,,,12,167,0,
36441058,1min to redline - Central Sq. 19th Century details,9161433,Nels,,Allston,42.36416,-71.10206,Entire home/apt,130,91,1,2019-08-01,0.03,5,283,0,
18295290,Chic quiet room 1 (Near BU/Downtown/Fenway/HMS),124844857,Shuang,,Longwood Medical Area,42.34093,-71.11166,Private room,88,60,388,2022-05-01,6.22,2,2,27,
584833965928380552,Wonderful Ocean and City view like no other,158837906,Hashouki,,East Boston,42.36827,-71.0426,Entire home/apt,399,7,1,2022-04-02,0.41,74,352,1,STR-542617
22008825,Harvard Square Private Floor,10825995,Mike,,Allston,42.36424,-71.11525,Entire home/apt,135,91,2,2018-10-25,0.04,3,285,0,
16826930,"Comfortable 1 Bedroom in Central Square, Cambridge",22541573,Ken,,Allston,42.36547,-71.10263,Entire home/apt,215,30,1,2019-10-14,0.03,38,230,0,
79762,Cambridge Getaway @ Harvard & MIT,430015,Kevin,,Allston,42.3695,-71.09921,Entire home/apt,400,3,379,2022-05-27,2.8,2,158,28,STR-15661
636057166511886328,Brilliant apartment home | 2 BR in Watertown,359229620,Casey,,Brighton,42.36383198670381,-71.17839447416395,Entire home/apt,248,92,0,,,102,365,0,
51328952,Brilliant apartment home | 1 BR in Watertown,359229620,Casey,,Brighton,42.36598,-71.17768,Entire home/apt,211,92,0,,,102,365,0,
51692201,Brilliant apartment home | 2 BR in Watertown,359229620,Casey,,Brighton,42.36596757329149,-71.1776102665919,Entire home/apt,252,92,0,,,102,365,0,
6450220,Longwood Medical 2br Brookline Condo with Parking!,2006852,Jay,,Longwood Medical Area,42.33693,-71.11193,Entire home/apt,295,1,126,2022-05-08,1.68,10,288,33,
46468649,Beautiful Private Room in Central Square Cambridge,373050156,Cameron,,Allston,42.3568,-71.11348,Private room,80,91,0,,,22,185,0,
21406532,Harvard Square Delight with Office Space,18694541,Nicholas,,Allston,42.36944,-71.11154,Entire home/apt,100,31,32,2021-08-25,0.63,3,0,1,C0206100491
13043253,Beautiful Garden Apartment in Coolidge Corner,43541461,Aylit,,Longwood Medical Area,42.33779,-71.12279,Entire home/apt,250,1,307,2022-01-02,4.22,1,22,60,
49775995,Master bedroom in Lux 2Br convenient to Harvard,21631889,Ling Yi,,Allston,42.38601,-71.13849,Private room,100,75,1,2021-09-13,0.11,14,191,1,
644998990782647034,Private Bedroom in Luxury Somerville 3-Bed Condo,462952833,James,,Charlestown,42.39402025391804,-71.07723074902466,Private room,84,7,0,,,14,312,0,
49478571,Loft overlooking marina #2,398442721,Rob,,Charlestown,42.39216,-71.04743,Entire home/apt,79,90,4,2021-12-12,0.41,6,166,4,
18614633,Sunny private 1 bedroom suite with own entrance,14077870,Sally,,Brighton,42.37087,-71.18356,Entire home/apt,93,2,199,2022-06-09,3.24,1,4,53,
14363983,Oceanview apartment2L 10 minutes to Boston/airport,50773132,Angela,,East Boston,42.3963,-70.9868,Entire home/apt,134,31,218,2022-05-15,3.08,5,123,31,
14918871,"Clean, Comfy and quiet One bedroom.",93755887,Tom,,West Roxbury,42.30231,-71.14067,Private room,97,1,58,2019-11-10,0.83,1,285,0,
615948095655973561,Huge 3 bedrooms apt in Watertown by Arsenal mall,158837906,Hashouki,,Brighton,42.36321444220469,-71.16025528592282,Entire home/apt,513,29,0,,,74,364,0,
46468877,Private Room in Central Square Cambridge,373050156,Cameron,,Allston,42.35649,-71.1121,Private room,73,91,0,,,22,176,0,
46510612,"Private Room in Cambridge, Great for Students!",373050156,Cameron,,Allston,42.35844,-71.11153,Private room,86,91,0,,,22,211,0,
601360831086317599,Newly renovated home steps from Union square,3404176,Jennifer,,Charlestown,42.37784250657024,-71.09631818104178,Entire home/apt,450,14,0,,,1,282,0,
49793684,Fully furnished private room in Cambridge,373050156,Cameron,,West End,42.36783,-71.08502,Private room,93,120,0,,,22,178,0,
31085634,"Private Rm, Close to MIT/Kendall,",405842634,Fiona,,Charlestown,42.37053,-71.08247,Private room,38,30,92,2022-04-30,2.18,2,297,4,
12944416,Modern Cambridge One Bedroom in Central Square,22541573,Ken,,Allston,42.36381,-71.10401,Entire home/apt,190,30,4,2017-10-14,0.06,38,172,0,
14855011,Modern Cambridge One Bedroom Apartment in Central Square,22541573,Ken,,Allston,42.36378,-71.10247,Entire home/apt,225,30,1,2016-11-05,0.01,38,333,0,
621558087359958423,Live + Work + Stay + Easy | 1BR in Cambridge,359229620,Casey,,Charlestown,42.37183,-71.07751,Entire home/apt,223,92,0,,,102,365,0,
12945618,Central Square Two Bedroom Apartment - near Harvard and MIT,22541573,Ken,,Allston,42.36422,-71.10295,Entire home/apt,285,30,2,2016-11-26,0.03,38,301,0,
51821353,Live + Work + Stay + Easy | 1 BR in Cambridge,359229620,Casey,,Charlestown,42.3717804564619,-71.07932535590567,Entire home/apt,231,92,0,,,102,365,0,
50615747,Brookline-10-15 minutes to Country Club US Open.,71721237,Sharon,,Longwood Medical Area,42.33638077268988,-71.11268178215727,Entire home/apt,547,28,0,,,1,257,0,
3100411,REMOTE LEARNING READY HARVARD UNI. APARTMENT,3668535,Jonas,,Allston,42.37318,-71.11334,Entire home/apt,379,1,64,2022-05-30,0.65,2,171,14,C0191060491
19044631,Oceanview Unit 2R for 10 mins to Boston /airport,50773132,Angela,,East Boston,42.39738,-70.98492,Entire home/apt,156,2,183,2022-05-29,3.06,5,212,27,
51328967,Brilliant apartment home | Studio in Watertown,359229620,Casey,,Brighton,42.364337845846215,-71.1772863041082,Entire home/apt,196,92,0,,,102,365,0,
45609749,Cozy fully furnished private 1 bedroom apartment,369446792,Soma,,West Roxbury,42.30013,-71.18126,Entire home/apt,80,3,1,2022-01-16,0.2,3,215,1,
28058442,🔹Cozy Sunshine room close to 🚉,413892,Dee Grace,,Brighton,42.35843,-71.1882,Private room,95,7,11,2022-04-30,0.24,4,56,4,
603441083004395777,Major location - Luxury condo with 1 free parking,450042941,Joana,,Charlestown,42.39552736467438,-71.06067237482847,Entire home/apt,166,28,5,2022-05-29,2.42,3,276,5,
19045017,Oceanview apartment 1L 10 minute to Boston/airport,50773132,Angela,,East Boston,42.39516,-70.98442,Entire home/apt,185,1,131,2022-05-18,2.19,5,132,12,
20947073,Private exterior Entrance Walk to Ocean &  Subway,150627639,Patricia,,East Boston,42.39806,-70.98681,Entire home/apt,221,32,106,2022-05-10,1.85,1,127,4,
51328901,Brilliant apartment home | Studio in Watertown,359229620,Casey,,Brighton,42.366077810191,-71.1770723066458,Entire home/apt,186,92,0,,,102,365,0,
5045782,"Furnished rm, Harvard/Porter Square",26049718,Rosalind,,Allston,42.3839,-71.11932,Private room,67,3,222,2022-06-05,2.48,1,21,8,
519073741926470663,Modern Entire 1br Convenient Location 1br Apt WiFi,914769,Michael,,West Roxbury,42.30209,-71.18187,Entire home/apt,75,30,0,,,5,215,0,
594743323477978814,Brilliant apartment home | Studio in Watertown,359229620,Casey,,Brighton,42.36415,-71.1792,Entire home/apt,192,92,0,,,102,300,0,
51328974,Brilliant apartment home | Studio in Watertown,359229620,Casey,,Brighton,42.365860031422514,-71.17747928057699,Entire home/apt,187,92,0,,,102,365,0,
640344623056067258,Brilliant apartment home | Studio in Watertown,359229620,Casey,,Brighton,42.36405582742254,-71.17761446028996,Entire home/apt,178,92,0,,,102,365,0,
47515850,Brilliant apartment home | 1BR in Watertown,359229620,Casey,,Brighton,42.36495,-71.17801,Entire home/apt,226,92,0,,,102,364,0,
51025028,Modern single fam. house 5 min to Downtown/Airport,412803238,Peter,,East Boston,42.40602,-71.02943,Entire home/apt,380,1,36,2022-05-27,3.27,2,338,36,
2220779,Sunny & cozy adorable guesthouse in Chestnut Hill,11329480,Anabelle D.,,Brighton,42.328609,-71.154991,Entire home/apt,800,3,0,,,1,55,0,
51488181,In-Law Apartment New Renovation,16204830,Ahat,,Allston,42.38421,-71.11678,Private room,125,30,0,,,1,318,0,STR-13863
7573492,Harvard Cambridge Large room,6438360,John,,Allston,42.38456,-71.13277,Private room,90,1,348,2020-03-23,4.21,2,7,0,
19877985,"Uplifting Top/F Apt nr Park, Encore/ Assembly Sq.",7918311,Dina,,Charlestown,42.40955,-71.06324,Entire home/apt,190,4,26,2022-03-27,0.53,6,39,12,
53801982,Cozy two bedroom 15 minutes from downtown,413951858,Ruwayda,,East Boston,42.39289,-71.02951,Entire home/apt,302,3,1,2022-04-11,0.47,1,320,1,
593652100052917117,Prentiss House by Thatch | Deluxe King #17,814298,Thatch,,Allston,42.38343009483516,-71.11852656417773,Private room,232,1,1,2022-04-20,0.55,109,69,1,128734
621696522201226259,3 Bedroom Home Less than 2 Miles from US Open,92312924,Scott,,West Roxbury,42.295006,-71.151886,Entire home/apt,4000,4,0,,,1,322,0,
33291697,Convenient studio for female scholar Harvard & MIT,11441054,Katy,,Brighton,42.3733,-71.16493,Entire home/apt,65,14,1,2021-11-21,0.15,5,289,1,
639234147713121988,"US Open 2022 - South Brookline, across from course",461932783,Jesse,,West Roxbury,42.30793625524429,-71.16146917710842,Entire home/apt,2400,1,0,,,1,358,0,
21029372,"Modern 2 Bed Min to Harvard, MIT, MGH & Boston",1285975,Nina,,Brighton,42.37396,-71.15509,Entire home/apt,211,7,9,2022-06-02,0.16,1,109,3,
6759024,Modern Furnished 2-Bedroom Apt in Kendall Square,30283594,Global Luxury Suites,,West End,42.36485,-71.08398,Entire home/apt,339,30,5,2017-01-30,0.06,45,279,0,C0281180491
12306678,"Private Room and Bath, Gym Privileges & Parking!",66359853,Catherine,,Allston,42.36026,-71.11455,Private room,82,91,24,2021-09-15,0.32,1,225,1,
46602118,"1 Bedroom with Cambridge Views, walk to MIT/Harvard!",22541573,Ken,,Fenway,42.36072,-71.10137,Entire home/apt,250,30,1,2022-01-22,0.21,38,359,1,
14592916,Cambridge Vacation Rental Rooms M807 #1,32532791,Marie,,Allston,42.36953,-71.09969,Private room,160,3,9,2021-10-31,0.13,11,37,2,STR-12096
36621746,"Close to Longwood Med,mins to transit,parkng avail",266312920,STARS Of,,Jamaica Plain,42.32601,-71.12492,Entire home/apt,206,2,7,2021-07-05,0.24,48,214,1,
46397326,Private Room in Cambridge close to Kendall Square,373050156,Cameron,,West End,42.36762,-71.07957,Private room,100,91,0,,,22,177,0,
23309047,Heart Cambridge 2 BDS Boston/ MIT/Harvard,162705378,Huanan,,Allston,42.3624,-71.10399,Entire home/apt,118,3,2,2019-07-19,0.05,5,10,0,STR-13727
7470122,Harvard's Other Yard,2909665,Brendon,,Allston,42.38039,-71.10448,Entire home/apt,906,2,22,2022-06-11,0.27,1,97,4,
51981449,- AMAZING HARVARD SQUARE SUITE -,10825995,Mike,,Allston,42.36446,-71.11376,Entire home/apt,89,91,1,2021-12-31,0.18,3,318,1,
20633588,M1/Walk to Harvard MIT Subway Priv Kitchen & BATH,93503221,Lynne,,Allston,42.37494,-71.10431,Private room,145,1,75,2022-05-26,1.29,7,12,44,
47451161,Live + Work + Stay + Easy | 1BR in Cambridge,359229620,Casey,,Charlestown,42.37218,-71.07838,Entire home/apt,218,92,0,,,102,364,0,
597823186023234183,Family-friendly house in quiet & central location,69838,Mara,,Allston,42.362785,-71.103943,Entire home/apt,1700,1,1,2022-05-27,1.0,2,79,1,
18610351,Spacious garden bedroom + bathroom in Central Sq,69838,Mara,,Allston,42.36185,-71.10341,Entire home/apt,250,2,22,2019-07-27,0.36,2,26,0,
44155656,Harvard & Central Square and Near Charles River,3011415,Stanley And Sue,,Allston,42.36684,-71.11202,Entire home/apt,210,31,1,2021-12-16,0.17,3,50,1,
643456166095575171,Huge 2 bedrooms apt in Watertown Arsenal mall,158837906,Hashouki,,Brighton,42.36166,-71.16045,Entire home/apt,449,14,0,,,74,318,0,
49840424,Private Bedroom at Porter Sq,401242783,Aleyna,,Allston,42.38865,-71.12213,Private room,74,5,24,2022-06-07,1.93,3,109,23,
24888098,"LIVING in THE CITY, CLOSE TO HARVARD&MIT",15154687,John,,Charlestown,42.37172,-71.09012,Private room,93,1,48,2021-11-04,0.96,18,355,14,
53971022,Luxury high end 2 bedrooms apt at Watertown Mall,158837906,Hashouki,,Brighton,42.36113,-71.15886,Entire home/apt,377,19,0,,,74,348,0,
51508146,"*Cosy room 5 min away from Harvard, Cambridge*",401529934,R,,Allston,42.3691,-71.11297,Private room,149,1,4,2021-10-04,0.4,3,87,4,C0160860491
46024344,"Furnished Room, Big Brookline House, Top Location",373050156,Cameron,,Allston,42.34808,-71.12993,Private room,55,91,0,,,22,189,0,
46022872,"Room in Large Brookline House, Phenomenal Location",373050156,Cameron,,Allston,42.3489,-71.129,Private room,55,91,0,,,22,278,0,
52592108,Charming 1-Bedroom Hotel in Brookline,413084514,Luciana,,Longwood Medical Area,42.34085,-71.11753,Private room,269,2,6,2021-11-17,0.75,2,70,6,
52418778,5 Bedroom Victorian Home Central Cambridge BookNow,7848820,Kris,,Allston,42.37161,-71.1001,Entire home/apt,2500,30,0,,,14,285,0,STR-148098
603468218095387152,Live + Work + Stay + Easy | 1BR in Cambridge,359229620,Casey,,Charlestown,42.372874014785886,-71.07739552914605,Entire home/apt,213,92,0,,,102,365,0,
46397159,Private Room in Cambridge close to Kendall Square,373050156,Cameron,,West End,42.36831,-71.08157,Private room,80,91,0,,,22,271,0,
46414649,Cambridge Private Room close to Kendall Square,373050156,Cameron,,West End,42.36826,-71.08187,Private room,93,91,0,,,22,271,0,
20756502,M3 SUITE PIRVATEBATH WALK TO HARVARD MIT SUBWAY T,93503221,Lynne,,Allston,42.37499,-71.10651,Entire home/apt,142,1,132,2022-05-29,2.27,7,5,56,C0355460491
28988139,I1 Private Room by Kendall,218493228,John,,Charlestown,42.37165,-71.09826,Private room,65,7,63,2021-08-03,1.49,3,130,6,
45732279,Cambridge One Bedroom near MIT & Harvard,22541573,Ken,,West End,42.3627,-71.08284,Entire home/apt,260,30,2,2021-07-01,0.12,38,329,1,
45732017,Spacious One Bedroom in Heart of Kendall Square,22541573,Ken,,Back Bay,42.36281,-71.08434,Entire home/apt,260,30,0,,,38,308,0,
614033206773854003,Modern 3BR 2BTH Apt in Brookline near MGH,2356643,MyBostonTrip,,Allston,42.34829674210175,-71.12076128874968,Entire home/apt,369,25,0,,,73,125,0,
21406277,Large Harvard Sq. Apartment with Private Deck,18694541,Nicholas,,Allston,42.36956,-71.11126,Private room,145,90,20,2022-05-25,0.39,3,0,2,C0206100491
18722531,Entire 3-bedroom unit near Harvard/Boston,19246369,Joe,,Charlestown,42.38298,-71.08382,Entire home/apt,249,15,1,2021-10-17,0.13,2,180,1,
46069135,Furnished Room 1G - Big Beautiful Brookline House,373050156,Cameron,,Allston,42.34846,-71.12909,Private room,60,120,0,,,22,0,0,
7757680,2 Bedroom Apartment in Brookline MA,17512521,Walter,,Longwood Medical Area,42.33777,-71.11425,Entire home/apt,245,1,231,2021-12-04,2.78,1,150,22,
635816941525446521,Live + Work + Stay + Easy | 1BR in Cambridge,359229620,Casey,,Charlestown,42.37273052233162,-71.07749876732218,Entire home/apt,213,92,0,,,102,365,0,
19344649,WALK to HARVARD&MIT with MEMORY BED 1,15154687,John,,Allston,42.36559,-71.10485,Private room,99,1,178,2022-05-25,2.96,18,330,57,
51679955,"Spacious 1BR steps from Cooldige Corner in Brookline, by Blueground",107434423,Blueground,,Allston,42.343979,-71.120773,Entire home/apt,164,32,1,2022-04-29,0.65,399,351,1,
46602011,Kendall Square 1 Bedroom - Less than 10 Mins from MIT,22541573,Ken,,West End,42.36527,-71.08463,Entire home/apt,250,30,1,2021-12-18,0.17,38,299,1,
1992020,Private room & bath,6748461,Alice,,Allston,42.35015,-71.12338,Private room,75,3,237,2022-05-11,2.34,1,39,28,
18295772,Chic quiet room 3 (Near BU/Downtown/Fenway/HMS),124844857,Shuang,,Longwood Medical Area,42.3407,-71.11351,Private room,88,45,277,2022-06-02,4.45,2,2,20,
