id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
49987083,"Modern Luxury, History & Art in Culinary Hotspot",6970679,Kay,,"Shaw, Logan Circle",38.90577,-77.02677,Entire home/apt,171,3,21,2022-03-12,2.67,6,10,21,
50004380,ENTIRE  APT In the capitol hill area. 1 bloc subwy,118525253,Soraya,,"Union Station, Stanton Park, Kingman Park",38.89359,-76.97607,Entire home/apt,115,3,2,2022-01-22,0.28,4,72,2,
50008847,Glover Park Hotel Georgetown - Executive 2 Queen,402432488,Glover Park Hotel Georgetown,,"Cathedral Heights, McLean Gardens, Glover Park",38.92436,-77.07203,Private room,209,1,2,2021-08-01,0.25,7,169,2,
50008881,Glover Park Hotel Georgetown - Double Queen,402432488,Glover Park Hotel Georgetown,,"Cathedral Heights, McLean Gardens, Glover Park",38.9238,-77.07194,Private room,199,1,4,2021-09-06,0.5,7,165,4,
50008905,Georgetown Hotel Georgetown- City View King,402432488,Glover Park Hotel Georgetown,,"Cathedral Heights, McLean Gardens, Glover Park",38.923321,-77.072723,Private room,219,1,0,,,7,57,0,
50008951,Glover Park Georgetown - City View Double Queen,402432488,Glover Park Hotel Georgetown,,"Cathedral Heights, McLean Gardens, Glover Park",38.92229,-77.07323,Private room,229,1,2,2021-10-17,0.31,7,69,2,
50036759,Fully remodeled Anacostia home in the historic district,375204509,Bungalow,,Historic Anacostia,38.86582,-76.98673,Entire home/apt,256,30,0,,,12,0,0,
50066945,StayAttache and StayJoyful in Dupont Circle,7650266,Stay Attache,,"Dupont Circle, Connecticut Avenue/K Street",38.9153,-77.04414,Entire home/apt,127,30,0,,,100,337,0,
50068677,StayAttache and StayJoyful in Dupont Circle,7650266,Stay Attache,,"Dupont Circle, Connecticut Avenue/K Street",38.91386,-77.0447,Entire home/apt,132,30,0,,,100,0,0,
50073734,Entire 2br 2 bth apt newly remodeled in cap.Hill,118525253,Soraya,,"Union Station, Stanton Park, Kingman Park",38.89184,-76.97548,Entire home/apt,199,2,7,2022-02-27,0.71,4,345,7,
50082802,StayAttache and StayJoyful in Dupont Circle,7650266,Stay Attache,,"Dupont Circle, Connecticut Avenue/K Street",38.91336,-77.04302,Entire home/apt,101,30,0,,,100,343,0,
50082958,StayAttache and StayJoyful in Dupont Circle,7650266,Stay Attache,,"Dupont Circle, Connecticut Avenue/K Street",38.91499,-77.04483,Entire home/apt,135,30,0,,,100,282,0,
50083425,StayAttache and StayJoyful in Logan Circle,7650266,Stay Attache,,"Howard University, Le Droit Park, Cardozo/Shaw",38.9151,-77.02866,Entire home/apt,143,30,0,,,100,248,0,
50083679,Lyle Suite,392084046,Lyle Hotel,,"Dupont Circle, Connecticut Avenue/K Street",38.91444,-77.03887,Private room,799,1,0,,,7,363,0,
50100125,"2 Min Walk to Metro, 2 Bdrm Ground Level Apt",382697037,Nick,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90432,-77.02211,Entire home/apt,171,1,10,2022-03-03,1.02,3,6,10,
50103738,"Quaint Hill in Hillcrest, DC",404075804,Haregewine,,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",38.86858,-76.96102,Entire home/apt,210,1,22,2022-01-03,2.35,5,309,22,
50131402,Luxury Waterfront Apartment With Meditation Room,10396191,Ryan,,"Near Southeast, Navy Yard",38.87531,-77.00208,Entire home/apt,205,4,1,2021-10-24,0.2,1,332,1,
50152089,Glover Park Hotel Georgetown-King with Kitchenette,402432488,Glover Park Hotel Georgetown,,"Cathedral Heights, McLean Gardens, Glover Park",38.92365,-77.07168,Private room,9999,1,0,,,7,0,0,
50154046,Glover Park Hotel- 2 Queen studio with Kitchenette,402432488,Glover Park Hotel Georgetown,,"Cathedral Heights, McLean Gardens, Glover Park",38.9243,-77.07324,Private room,9228,1,0,,,7,0,0,
50154318,Content Creator DC Hideaway (NoMa),38464470,Jamar,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91243,-77.00456,Entire home/apt,127,2,0,,,1,0,0,
